code,name,city,country,latitude,longitude,elevation
DIW,Dickwella Airport,Dickwella,Sri Lanka,5.966667,80.683333,100
DJE,Zarzis,Djerba,Tunisia,33.875031,10.775461,19
DJG,Tiska,Djanet,Algeria,24.292767,9.452444,3176
DJO,Daloa,Daloa,Cote d'Ivoire,6.792808,-6.473189,823
DLG,Dillingham,Dillingham,United States,59.044667,-158.5055,74
DMK,Don Muang Intl,Bangkok,Thailand,13.912583,100.60675,9
DNA,Kadena Ab,Kadena,Japan,26.355612,127.767633,143
DNL,Daniel Field Airport,Augusta,United States,33.4665028,-82.0393808,423
DOG,Dongola,Dongola,Sudan,19.153867,30.430094,773
DOP,Dolpa,Dolpa,Nepal,28.985718,82.819145,8200
DOV,Dover Afb,Dover,United States,39.129539,-75.465958,28
DOY,Dongying Airport,Dongying,China,37.2716,118.2819,86
DPA,Dupage,West Chicago,United States,41.907778,-88.248611,758
DPL,Dipolog,Dipolog,Philippines,8.601261,123.334481,12
DPO,Devonport Airport,Devonport,Australia,-41.1697,146.43,33
DRO,Durango La Plata Co,Durango,United States,37.151516,-107.75377,6685
DSE,Combolcha Airport,Dessie,Ethiopia,11.0825,39.7114,6117
DSO,Sondok Airport,Hamhung,North Korea,39.747333,127.474611,0
DTW,Detroit Metro Wayne Co,Detroit,United States,42.212444,-83.353389,645
DUC,Halliburton Field Airport,Duncan,United States,34.4713056,-97.9598611,1114
DUE,Dundo Airport,Dundo,Angola,-7.40089,20.8185,2451
DVL,Devils Lake Regional Airport,Devils Lake,United States,48.114444,-98.908611,1445
DVO,Francisco Bangoy International,Davao,Philippines,7.125522,125.645778,59
DWC,Dubai Al Maktoum,Dubai,United Arab Emirates,24.55056,55.103174,170
DYS,Dyess Afb,Abilene,United States,32.420756,-99.8546,1789
E25,Wickenburg Municipal Airport,Wickenburg,United States,33.96889877,-112.7990036,2377
EAM,Nejran,Nejran,Saudi Arabia,17.611436,44.419169,3982
EAP,EuroAirport,Mulhouse,France,47.589583,7.529914,885
EAT,Pangborn Field,Wenatchee,United States,47.398,-120.206,1249
EBG,El Bagre Airport,El Bagre,Colombia,7.596389,-74.808889,180
ECN,Ercan International Airport,Nicosia,Cyprus,35.1547,33.4961,404
EEK,Eek Airport,Eek,United States,60.213611,-162.043889,15
EGA,Eagle County Airport,Eagle,United States,39.6427611,-106.9159347,6548
EGC,Roumaniere,Bergerac,France,44.825279,0.518611,171
EGE,Eagle Co Rgnl,Vail,United States,39.642556,-106.917694,6540
EHM,Cape Newenham Lrrs,Cape Newenham,United States,58.646428,-162.062778,541
EIA,Popondetta,Popondetta,Papua New Guinea,-8.19999980927,147.850006104,311
EIE,Yeniseysk Airport,Yeniseysk,Russia,58.4742,92.1125,253
EIL,Eielson Afb,Fairbanks,United States,64.665667,-147.1015,548
EKY,Bessemer,Bessemer,United States,33.1876,-86.5558,700
ELD,South Arkansas Rgnl At Goodwin Fld,El Dorado,United States,33.220972,-92.813278,277
ELG,El Golea,El Golea,Algeria,30.571294,2.859586,1306
ELS,East London,East London,South Africa,-33.035569,27.825939,435
ELU,Guemar Airport,Guemar,Algeria,33.5114,6.77679,203
ELX,El Chalten,El Chalten,Argentina,-49.328889,-72.93,1279
ENS,Twenthe,Enschede,Netherlands,52.27,6.874167,114
ENT,Eniwetok Airport,Eniwetok Atoll,Marshall Islands,11.34075,162.327861,13
EPR,Esperance Airport,Esperance,Australia,-33.6844,121.823,470
EQS,Esquel,Esquel,Argentina,-42.90795,-71.139472,2621
EQY,Monroe Reqional Airport,Charlotte,United States,35.01833,-80.62001,679
ERH,Moulay Ali Cherif,Er-rachidia,Morocco,31.9475,-4.398333,3428
ERS,Eros Airport,Windhoek,Namibia,-22.6122,17.0804,5575
ERV,Kerrville Municipal Airport,Kerrville,United States,29.9766667,-99.0854722,1617
ESC,Delta County Airport,Escanaba,United States,45.722778,-87.093611,609
ESH,Shoreham,Shoreham By Sea,United Kingdom,50.835556,-0.297222,7
ESL,Elista Airport,Elista,Russia,46.3739,44.3309,501
EUA,Kaufana Airport,Eua Island,Tonga,-21.3783,-174.958,325
EUN,Hassan I Airport,El Aai├║n,Western Sahara,27.1517,-13.2192,207
EWD,Wadi Al Dawasir Airport,Wadi-al-dawasir,Saudi Arabia,20.504275,45.199556,2062
FAB,Farnborough,Farnborough,United Kingdom,51.275833,-0.776333,238
FAV,Fakarava,Fakarava,French Polynesia,-16.05415,-145.656994,13
FAY,Fayetteville Regional Grannis Field,Fayetteville,United States,34.9912,-78.8803,189
FBR,Fort Bridger,Fort Bridger,United States,41.236,-110.2436,7038
FBS,Friday Harbor Seaplane Base,Friday Harbor,United States,48.537222,-123.009722,0
FFD,Fairford,Fairford,United Kingdom,51.682167,-1.790028,286
FGL,Fox Glacier Airstrip,Fox Glacier,New Zealand,-43.4,170.033,475
FHU,Sierra Vista Muni Libby Aaf,Fort Huachuca,United States,31.588472,-110.344389,4719
FKI,Kisangani Simisini,Kisangani,Congo (Kinshasa),0.5175,25.155014,1289
FKL,Franklin,Franklin,United States,41.377874,-79.860362,1540
FLA,Gustavo Artunduaga Paredes,Florencia,Colombia,1.589189,-75.564372,803
FLF,Flensburg Schaferhaus,Flensburg,Germany,54.771772,9.378214,130
FLN,Hercilio Luz,Florianopolis,Brazil,-27.670489,-48.547181,20
FMH,Otis Angb,Falmouth,United States,41.658439,-70.521417,131
FMI,Kalemie,Kalemie,Congo (Kinshasa),-5.875556,29.25,2569
FMM,Allgau,Memmingen,Germany,47.988758,10.2395,2077
FNE,Fane Airport,Fane,Papua New Guinea,-8.55,147.083,0
FNL,Fort Collins Loveland Muni,Fort Collins,United States,40.451828,-105.011336,5016
FOE,Forbes Fld,Topeka,United States,38.950944,-95.663611,1078
FOK,Francis S Gabreski,West Hampton Beach,United States,40.843656,-72.631789,67
FRD,Friday Harbor Airport,Friday Harbor,United States,48.521944,-123.024444,113
FRN,Bryant Ahp,Fort Richardson,United States,61.266381,-149.653119,378
FSI,Henry Post Aaf,Fort Sill,United States,34.649833,-98.402167,1189
FSP,St Pierre,St.-pierre,Saint Pierre and Miquelon,46.762904,-56.173088,27
FST,Fort Stockton Pecos Co,Fort Stockton,United States,30.915667,-102.916139,3011
FTE,El Calafate,El Calafate,Argentina,-50.280322,-72.053103,669
FTW,Fort Worth Meacham Intl,Fort Worth,United States,32.819778,-97.362444,710
FUK,Fukuoka,Fukuoka,Japan,33.585942,130.450686,32
FUL,Fullerton Municipal Airport,Fullerton,United States,33.521925,-117.584722,96
FYT,Faya Largeau,Faya-largeau,Chad,17.917053,19.111078,771
FYU,Fort Yukon,Fort Yukon,United States,66.571492,-145.250417,433
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.106092,91.585939,162
GAY,Gaya,Gaya,India,24.744308,84.951175,380
GBE,Sir Seretse Khama Intl,Gaberone,Botswana,-24.555225,25.918208,3299
